                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.3109,                0.84451,                 1.2465,                0.74794,                0.64919,                0.69845,                0.36161,                      0,                    inf,                      0,               0.000352,               0.000352,               0.000352
                     38,                 1.2843,                0.82669,                 1.2433,                0.80551,                 0.7119,                 0.7705,                0.42825,                      0,                    inf,                      0,               0.000334,               0.000334,               0.000334
                     39,                  1.348,                0.81012,                 1.2698,                0.88984,                0.67188,                0.80178,                 0.4446,                      0,                    inf,                      0,               0.000316,               0.000316,               0.000316
                     40,                 1.3238,                0.85125,                 1.3571,                0.84362,                0.60938,                0.71521,                0.37861,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
                     41,                  1.269,                0.84939,                 1.2995,                0.76962,                0.73082,                 0.7508,                0.37295,                      0,                    inf,                      0,                0.00028,                0.00028,                0.00028
                     42,                  1.289,                0.78633,                 1.2982,                0.80297,                0.65625,                0.77122,                0.46477,                      0,                    inf,                      0,               0.000262,               0.000262,               0.000262
                     43,                 1.2739,                0.77349,                 1.3106,                0.78324,                0.67758,                0.76446,                0.46785,                      0,                    inf,                      0,               0.000244,               0.000244,               0.000244
                     44,                 1.2126,                0.72269,                 1.2988,                0.82358,                0.72949,                0.79953,                0.46167,                      0,                    inf,                      0,               0.000226,               0.000226,               0.000226
                     45,                 1.2491,                0.69291,                 1.2613,                0.75666,                 0.7774,                0.79056,                 0.4658,                      0,                    inf,                      0,               0.000208,               0.000208,               0.000208
                     46,                 1.2159,                0.70172,                 1.2203,                0.71816,                0.79628,                0.78547,                0.45038,                      0,                    inf,                      0,                0.00019,                0.00019,                0.00019
                     47,                 1.1594,                0.66773,                 1.2157,                0.77738,                0.76562,                0.79937,                  0.433,                      0,                    inf,                      0,               0.000172,               0.000172,               0.000172
                     48,                 1.2264,                0.70074,                  1.228,                 0.8124,                  0.812,                0.82048,                0.45121,                      0,                    inf,                      0,               0.000154,               0.000154,               0.000154
                     49,                 1.2265,                0.70832,                 1.2558,                0.81062,                0.80265,                0.83232,                0.46917,                      0,                    inf,                      0,               0.000136,               0.000136,               0.000136
